name,slug,gecko_id,category
STON.fi,ston.fi,ston-2,Dexs
deBridge,debridge,debridge,Bridge
JustLend,justlend,just,Lending
DxSale,dxsale,dxsale-network,Launchpad
Brickken,brickken,brickken,RWA
Flow,flow,flow,Chain
Realms,realms,epics-token,Governance Incentives
Liqwid,liqwid,liqwid-finance,Lending
MetalX Lending,metalx-lending,proton-loan,Lending
Manta,manta,manta-network,Chain
Quickswap Dex,quickswap-dex,quickswap,Dexs
Alchemix,alchemix,alchemix,Synthetics
Aquarius Stellar,aquarius-stellar,aquarius,Dexs
Beraborrow,beraborrow,pollen-2,CDP
World Chain,world-chain,worldcoin-wld,Canonical Bridge
Amnis Finance,amnis-finance,ami,Liquid Staking
Idle,idle,idle,Yield Aggregator
Phemex,phemex,phemex,CEX
Vesper,vesper,vesper-finance,Yield Aggregator
Tron,tron,tron,Chain
Across,across,across-protocol,Cross Chain Bridge
Aptos,aptos,aptos,Canonical Bridge
LiNEAR Protocol,linear-protocol,linear-protocol-lnr,Liquid Staking
Minswap,minswap,minswap,Dexs
Kava,kava,kava,Chain
Merkle Trade,merkle-trade,merkle-trade,Derivatives
cBridge,cbridge,celer-network,Bridge
Hop Protocol,hop-protocol,hop-protocol,Cross Chain Bridge
ORIGYN,origyn,origyn-foundation,RWA
Nibiru,nibiru,nibiru,Chain
SYMMIO,symmio,symmio,Derivatives
NEO,neo,neo,Chain
Algorand,algorand,algorand,Chain
Blueshift,blueshift,blueshift,Dexs
Boson Protocol,boson-protocol,boson-protocol,RWA
Resolv,resolv,resolv,Basis Trading
Wombat Exchange,wombat-exchange,wombat-exchange,Dexs
QiDao,qidao,qi-dao,CDP
Stader,stader,stader,Liquid Staking
Concentrator,concentrator,concentrator,Yield
Resupply,resupply,resupply,Lending
ApeChain,apechain,apecoin,Chain
Anvil,anvil,anvil,Collateral Management
Frankencoin,frankencoin,frankencoin,CDP
Fantom,fantom,fantom,Chain
ZEROBASE CeDeFi,zerobase-cedefi,zerobase,Basis Trading
SatLayer,satlayer,satlayer,Anchor BTC
Ekubo,ekubo,ekubo-protocol,Dexs
Ontology,ontology,ontology,Chain
Babylon Genesis,babylon-genesis,babylon,Chain
Veno Finance,veno-finance,veno-finance,Liquid Staking
POWERCITY Earn Protocol,powercity-earn-protocol,powercity-earn-protocol,CDP
XPR Network,xpr-network,proton,Chain
WingRiders,wingriders,wingriders,Dexs
Piku,piku,piku-utility-token,Yield
aelf,aelf,aelf,Chain
Penpie,penpie,penpie,Yield
IoTeX,iotex,iotex,Chain
Harmonix Finance,harmonix-finance,harmonix-finance,Yield
stUSDT,stusdt,staked-usdt,RWA
fx Protocol,fx-protocol,fxn-token,Dual-Token Stablecoin
Sphere Finance,sphere-finance,sphere-finance,Yield
DeDust,dedust,scaleton,Dexs
xWin Finance,xwin-finance,xwin-finance,Indexes
Equilibria,equilibria,equilibria-finance,Yield
Wing Finance,wing-finance,wing-finance,Lending
Keep3r Network,keep3r-network,keep3rv1,Derivatives
Hedera,hedera,hedera-hashgraph,Chain
Sophon,sophon,sophon,Chain
Renzo,renzo,renzo,Liquid Restaking
Terra2,terra2,terra-luna-2,Chain
MoneyOnChain,moneyonchain,money-on-chain,Dual-Token Stablecoin
Lisk,lisk,lisk,Chain
Icon,icon,icon,Chain
Ethereal,ethereal,ethena-usde,Chain
Ronin Bridge,ronin-bridge,ronin,Canonical Bridge
Equilibre,equilibre,equilibre,Dexs
Gate,gate,gatechain-token,CEX
Pulsechain,pulsechain,pulsechain,Chain
Gamma,gamma,gamma-strategies,Liquidity manager
XRPL,xrpl,ripple,Chain
LayerBank,layerbank,lineabank,Lending
Inverse Finance FiRM,inverse-finance-firm,inverse-finance,CDP
Sonic,sonic,sonic-3,Chain
Unitus,unitus,unitus-2,Lending
Hakka Finance,hakka-finance,hakka-finance,Derivatives
Uranium.io,uranium.io,uranium,RWA
WEMIX3.0,wemix3.0,wemix-token,Chain
Bitcoin,bitcoin,bitcoin,Canonical Bridge
ABC Pool,abc-pool,abc-pos-pool,Staking Pool
DeltaPrime,deltaprime,prime-2,Leveraged Farming
Iron Bank,iron-bank,iron-bank,Lending
Ethereum,ethereum,ethereum,Chain
ZIGChain,zigchain,zignaly,Chain
Saber,saber,saber,Dexs
Chiliz,chiliz,chiliz,Chain
Turbos,turbos,turbos-finance,Dexs
CLever,clever,clever-token,Yield
Peapods Finance,peapods-finance,peapods-finance,Yield
Tornado Cash,tornado-cash,tornado-cash,Privacy
Starknet,starknet,starknet,Chain
Autofarm,autofarm,auto,Yield Aggregator
PumpBTC,pumpbtc,pumpbtc,Bridge
ThalaSwap,thalaswap,thala,Dexs
Tinyman,tinyman,tiny,Dexs
Radpie,radpie,radpie,Yield
Team Finance,team-finance,trustswap,Token Locker
Conflux,conflux,conflux-token,Chain
HawkFi,hawkfi,hawksight,Liquidity manager
Bio Protocol,bio-protocol,bio-protocol,Launchpad
ZeroLend Lending,zerolend-lending,zerolend,Lending
ProBit Global,probit-global,probit-exchange,CEX
Vires Finance,vires-finance,vires-finance,Lending
MAP Protocol,map-protocol,marcopolo,Chain
Stafi,stafi,stafi,Liquid Staking
Tranchess Yield,tranchess-yield,tranchess,Yield
Splash Protocol,splash-protocol,splash-trade,Dexs
cVault Finance,cvault-finance,cvault-finance,Yield
TON,ton,the-open-network,Chain
Ferro,ferro,ferro,Dexs
Bifrost,bifrost,bifrost-native-coin,Chain
Pickle,pickle,pickle-finance,Yield Aggregator
Mixin,mixin,mixin,Chain
sDAI,sdai,savings-xdai,Yield
AUTOfinance,autofinance,tokemak,Yield
The Idols,the-idols,virtue,Reserve Currency
Hydration,hydration,hydradx,Chain
mETH Protocol,meth-protocol,meth-protocol,Liquid Staking
Hamilton Lane Senior Credit Opportunities Securitize Fund,hamilton-lane-senior-credit-opportunities-securitize-fund,hamilton-lane-senior-credit-opportunities-securitize-fund,RWA
Provenance,provenance,hash-2,Chain
Solana,solana,solana,Canonical Bridge
Gyroscope GYD,gyroscope-gyd,gyroscope-gyd,Stablecoin
Easedefi.org,easedefi.org,ease,Insurance
Multichain,multichain,multichain,Bridge
kpk,kpk,kpk,Risk Curators
Aktionariat,aktionariat,draggable-aktionariat-ag,RWA
Symbiosis,symbiosis,symbiosis-finance,Cross Chain Bridge
Mode,mode,mode,Chain
Thorchain,thorchain,thorchain,Chain
WaterNeuron,waterneuron,waterneuron,Liquid Staking
LiquidLoans,liquidloans,liquid-loans,CDP
Convex Finance,convex-finance,convex-finance,Yield
AlphaLend,alphalend,bluefin,Lending
0x Aggregator,0x-aggregator,0x,DEX Aggregator
Agora Dollar,agora-dollar,agora-dollar,Stablecoin
AltLayer,altlayer,altlayer,Developer Tools
Arkham,arkham,arkham,Services
Axie Infinity,axie-infinity,axie-infinity,Gaming
Banana Gun,banana-gun,banana-gun,Telegram Bot
basedmarkets,basedmarkets,based-markets,Derivatives
Beam,beam,beam-2,Chain
Bittensor,bittensor,bittensor,Chain
Celo Dollar,celo-dollar,celo-dollar,Stablecoin
Celo Euro,celo-euro,celo-euro,Stablecoin
Celo Real,celo-real,celo-real-creal,Stablecoin
Chronicle,chronicle,chronicle,Services
Dai,dai,dai,Stablecoin
Falcon USD,falcon-usd,falcon-finance,Stablecoin
fxUSD,fxusd,f-x-protocol-usd,Stablecoin
Helium Network,helium-network,helium,DePIN
Houdini Swap,houdini-swap,houdini-swap,DEX Aggregator
LayerZero,layerzero,layerzero,Bridge
Magic Internet Money,magic-internet-money,magic-internet-money,Stablecoin
MetaDAO,metadao,meta-2-2,Dexs
Metaplex,metaplex,metaplex,Launchpad
mStable USD,mstable-usd,musd,Stablecoin
Official Trump,official-trump,official-trump,Meme
Olympus DAO,olympus-dao,olympus,Reserve Currency
Ondo US Dollar Yield,ondo-us-dollar-yield,ondo-us-dollar-yield,Stablecoin
OP Mainnet,op-mainnet,optimism,Chain
Pudgy Penguins,pudgy-penguins,pudgy-penguins,Chain
pump.fun,pump.fun,pump-fun,Launchpad
Request Network,request-network,request-network,Developer Tools
Resolv USD,resolv-usd,resolv-usr,Stablecoin
Sky Dollar,sky-dollar,usds,Stablecoin
THORSwap,thorswap,thorswap,DEX Aggregator
Tornado Finance,tornado-finance,tornadocore,Yield
Walrus Protocol,walrus-protocol,walrus-2,Developer Tools
